Deputado;perfil;link
márcio marinho;@dpmarciomarinho;https://twitter.com/dpmarciomarinho
mário heringer;@mario_heringer;https://twitter.com/mario_heringer
mário negromonte jr.;@depnegromontejr;https://twitter.com/depnegromontejr
magda mofatto;@Magdamofatto;https://twitter.com/Magdamofatto
major fabiana;@majorfabianadep;https://twitter.com/majorfabianadep
mara rocha;@mararocha4545;https://twitter.com/mararocha4545
marília arraes;@MariliaArraes;https://twitter.com/MariliaArraes
marcel van hattem;@marcelvanhattem;https://twitter.com/marcelvanhattem
marcelo aro;@marceloaro;https://twitter.com/marceloaro
marcelo calero;@caleromarcelo;https://twitter.com/caleromarcelo
marcelo freixo;@MarceloFreixo;https://twitter.com/MarceloFreixo
marcelo nilo;@depmarcelonilo;https://twitter.com/depmarcelonilo
marcelo ramos;@marceloramosam;https://twitter.com/marceloramosam
marcio alvino;@AlvinoMarcio;https://twitter.com/AlvinoMarcio
márcio labre;@marciolabre;https://twitter.com/marciolabre
marco bertaiolli;@MarcoBertaiolli;https://twitter.com/MarcoBertaiolli
pr. marco feliciano;@marcofeliciano;https://twitter.com/marcofeliciano
marcos pereira;@marcospereira04;https://twitter.com/marcospereira04
margarete coelho;@MargaretCoelho;https://twitter.com/MargaretCoelho
margarida salomão;@JFMargarida;https://twitter.com/JFMargarida
maria do rosário;@mariadorosario;https://twitter.com/mariadorosario
maria rosas;@mariarosassp;https://twitter.com/mariarosassp
mariana carvalho;@DeputadaMariana;https://twitter.com/DeputadaMariana
marlon santos;@deputado_marlon;https://twitter.com/deputado_marlon
marreca filho;@depmarrecafilho;https://twitter.com/depmarrecafilho
marx beltrão;@marxbeltrao;https://twitter.com/marxbeltrao
maurício dziedricki;@mauricioptbrs;https://twitter.com/mauricioptbrs
mauro lopes;@depmaurolopes;https://twitter.com/depmaurolopes
milton vieira;@MiltonVieiraOfc;https://twitter.com/MiltonVieiraOfc
moses rodrigues;@DepFederalMoses;https://twitter.com/DepFederalMoses
marina santos;@natbonavides;https://twitter.com/natbonavides
nereu crispim;@nereucrispim;https://twitter.com/nereucrispim
neri geller;@NeriGeller;https://twitter.com/NeriGeller
newton cardoso jr;@newton1510;https://twitter.com/newton1510
nicoletti;@depnicoletti;https://twitter.com/depnicoletti
nilson pinto;@DepNilsonPinto;https://twitter.com/DepNilsonPinto
nilto tatto;@NiltoTatto;https://twitter.com/NiltoTatto
nivaldo albuquerque;@NivaldoAlbuque;https://twitter.com/NivaldoAlbuque
odair cunha;@odaircunhamg;https://twitter.com/odaircunhamg
olival marques;@OLIVALMARQUES;https://twitter.com/OLIVALMARQUES
onyx lorenzoni;@Onyxlorenzoni;https://twitter.com/onyxlorenzoni
orlando silva;@orlandosilva;https://twitter.com/orlandosilva
osires damaso;@OrDamaso;https://twitter.com/OrDamaso
ossesio silva;@Ossesio_Silva;https://twitter.com/Ossesio_Silva
otoni de paula;@OtoniDepFederal;https://twitter.com/OtoniDepFederal
otto alencar filho;@ottoalencar;https://twitter.com/ottoalencar
padre joão;@dep_padrejoao;https://twitter.com/dep_padrejoao
pastor sargento isidório;@prisidorio;https://twitter.com/prisidorio
patrus ananias;@Patrus_Ananias;https://twitter.com/Patrus_Ananias
paula belmonte;@paulambelmonte;https://twitter.com/paulambelmonte
paulão;@paulaodopt;https://twitter.com/paulaodopt
paulo pereira da silva;@dep_paulinho;https://twitter.com/dep_paulinho
paulo abi-ackel;@pauloabiackel;https://twitter.com/pauloabiackel
paulo azi;@PauloAzi;https://twitter.com/PauloAzi
paulo bengtson;@PauloBengtson;https://twitter.com/PauloBengtson
paulo eduardo martins;@PauloMartins10;https://twitter.com/PauloMartins10
paulo ganime;@pauloganime;https://twitter.com/pauloganime
paulo guedes;@deppauloguedes;https://twitter.com/deppauloguedes
paulo pimenta;@DeputadoFederal;https://twitter.com/DeputadoFederal
paulo ramos;@pauloramosdep;https://twitter.com/pauloramosdep
paulo teixeira;@pauloteixeira13;https://twitter.com/pauloteixeira13
pedro augusto bezerra;@PedroAugusto_CE;https://twitter.com/PedroAugusto_CE
pedro cunha lima;@pedroocl;https://twitter.com/pedroocl
pedro lucas fernandes;@depPedroLucasF;https://twitter.com/depPedroLucasF
pedro lupion;@Dep_PedroLupion;https://twitter.com/Dep_PedroLupion
pedro paulo;@pedropaulo;https://twitter.com/pedropaulo
pedro uczai;@uczai;https://twitter.com/uczai
pedro westphalen;@pedrowestphalen;https://twitter.com/pedrowestphalen
nelson pellegrino;@nelsonpelegrino;https://twitter.com/nelsonpelegrino
rogério peninha mendonça;@deputadopeninha;https://twitter.com/deputadopeninha
perpétua almeida;@perpetua_acre;https://twitter.com/perpetua_acre
pinheirinho;@pinheirinhomg;https://twitter.com/pinheirinhomg
pompeo de mattos;@PompeodeMattos;https://twitter.com/PompeodeMattos
paulo freire costa;@DF_PauloFreire;https://twitter.com/DF_PauloFreire
professora marcivania;@marcivania65;https://twitter.com/marcivania65
professor israel batista;@ProfIsrael;https://twitter.com/ProfIsrael
professor joziel;@professorjoziel;https://twitter.com/professorjoziel
professora dayane pimentel;@deppimentel;https://twitter.com/deppimentel
professora dorinha seabra rezende;@profdorinha;https://twitter.com/profdorinha
